worker_id,current_block,stop_signal_condition,SS_delay,correct_response,key_press,correct_trial,rt
s010,1,stop,500,-1,-1,1,-1
s010,1,go,550,90,90,1,600
s010,1,stop,550,-1,90,0,704
s010,1,go,500,90,90,1,676
s010,1,go,500,77,77,1,653
s010,1,stop,500,-1,77,0,596
s010,1,go,450,90,90,1,604
s010,1,go,450,90,90,1,612
s010,1,stop,450,-1,90,0,523
s010,1,go,400,90,90,1,594
s010,1,stop,400,-1,77,0,826
s010,1,stop,350,-1,-1,1,-1
s010,1,go,400,90,90,1,681
s010,1,go,400,77,77,1,656
s010,1,go,400,77,77,1,696
s010,1,stop,400,-1,77,0,1152
s010,1,stop,350,-1,-1,1,-1
s010,1,stop,400,-1,-1,1,-1
s010,1,go,450,90,90,1,696
s010,1,go,450,90,90,1,637
s010,1,stop,450,-1,90,0,454
s010,1,go,400,77,77,1,781
s010,1,stop,400,-1,-1,1,-1
s010,1,go,450,90,90,1,695
s010,1,stop,450,-1,-1,1,-1
s010,1,go,500,90,90,1,709
s010,1,go,500,77,77,1,1068
s010,1,go,500,77,77,1,1043
s010,1,stop,500,-1,-1,1,-1
s010,1,go,550,77,77,1,777
s010,1,go,550,90,90,1,999
s010,1,go,550,90,90,1,694
s010,1,go,550,77,77,1,669
s010,1,stop,550,-1,90,0,674
s010,1,go,500,77,77,1,554
s010,1,go,500,77,77,1,338
s010,1,go,500,90,90,1,504
s320,0,go,250,90,90,1,563
s320,0,go,250,77,77,1,705
s320,0,stop,250,-1,-1,1,-1
s320,0,go,300,90,90,1,565
s320,0,stop,300,-1,90,0,681
s320,0,stop,250,-1,90,0,454
s320,0,go,200,77,77,1,707
s320,0,go,200,90,90,1,714
s320,0,stop,200,-1,-1,1,-1
s320,0,stop,250,-1,-1,1,-1
s320,0,go,300,90,90,1,661
s320,0,go,300,77,77,1,770
s320,0,stop,300,-1,-1,1,-1
s320,0,stop,350,-1,-1,1,-1
s320,0,stop,400,-1,-1,1,-1
s320,0,go,450,77,77,1,623
s320,0,go,450,77,77,1,857
s320,0,stop,450,-1,-1,1,-1
s320,0,go,500,90,90,1,766
s320,0,go,500,90,90,1,764
s320,0,go,500,90,90,1,599
s320,0,stop,500,-1,77,0,726
s320,0,stop,450,-1,-1,1,-1
s320,0,go,500,90,90,1,783
s320,0,go,500,90,90,1,970
s320,0,go,500,90,90,1,862
s320,0,go,500,77,77,1,644
s320,0,go,500,77,77,1,610
s320,0,stop,500,-1,-1,1,-1
s320,0,go,550,90,90,1,596
s320,0,go,550,77,77,1,839
s320,0,go,550,90,90,1,676
s320,0,go,550,90,90,1,676
s320,0,go,550,77,77,1,758
s320,0,go,550,77,77,1,790
s320,0,go,550,90,90,1,819
s320,0,stop,550,-1,77,0,677
s320,0,go,500,90,90,1,634
s320,0,go,500,77,77,1,698
s320,0,stop,500,-1,90,0,697
s320,0,go,450,77,77,1,810
s320,0,go,450,77,77,1,1181
s320,0,go,450,77,77,1,640
s320,0,go,450,77,77,1,722
s320,0,stop,450,-1,90,0,723
s320,0,go,400,77,77,1,815
s320,0,stop,400,-1,-1,1,-1
s320,0,go,450,90,90,1,778
s320,1,go,450,90,90,1,650
s320,1,go,450,90,90,1,544
s320,1,stop,450,-1,-1,1,-1
s320,1,go,500,77,77,1,761
s320,1,stop,500,-1,-1,1,-1
s320,1,go,550,77,77,1,771
s320,1,go,550,77,77,1,742
s320,1,go,550,90,90,1,539
s320,1,stop,550,-1,90,0,643
s320,1,go,500,90,90,1,688
s320,1,go,500,90,90,1,767
s320,1,stop,500,-1,90,0,813
s320,1,go,450,90,90,1,744
s320,1,go,450,90,90,1,848
s320,1,go,450,90,90,1,919
s320,1,stop,450,-1,-1,1,-1
s320,1,go,500,90,90,1,730
s320,1,go,500,90,90,1,848
s320,1,go,500,77,77,1,873
s320,1,stop,500,-1,-1,1,-1
s320,1,go,550,90,90,1,827
s320,1,go,550,90,90,1,942
s320,1,stop,550,-1,-1,1,-1
s320,1,go,600,77,77,1,753
s320,1,go,600,77,77,1,909
s320,1,go,600,77,77,1,901
s320,1,go,600,77,77,1,749
s320,1,go,600,90,90,1,885
s320,1,stop,600,-1,90,0,763
s320,1,go,550,90,90,1,789
s320,1,go,550,77,77,1,865
s320,1,go,550,77,77,1,631
s320,1,go,550,77,77,1,779
s320,1,stop,550,-1,90,0,777
s320,1,go,500,90,90,1,801
s320,1,go,500,77,77,1,797
s320,1,go,500,77,77,1,755
s320,1,stop,500,-1,-1,1,-1
s320,1,go,550,90,90,1,646
s320,1,stop,550,-1,90,0,719
