SS_delay,SS_duration,SS_stimulus,SS_trial_type,att_check_percent,block_duration,correct,correct_response,original_correcttrial,current_block,current_trial,exp_id,go_acc,key_press,possible_responses,rt,stim,stim_duration,stop_acc,stop_signal_condition,time_elapsed,timing_post_trial,trial_id,worker_id,correct_trial
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,38.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",479,square,1000.0,,go,190955,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,39.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",400,square,1000.0,,go,193459,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,0.0,40.0,stop_signal_single_task_network,,77.0,"[90, 77]",429,square,1000.0,0.0,stop,195964,0.0,test_trial,A3QAHF4UUBM7ZO,0
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,0.0,41.0,stop_signal_single_task_network,,90.0,"[90, 77]",411,circle,1000.0,0.0,stop,198468,0.0,test_trial,A3QAHF4UUBM7ZO,0
200.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,42.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",672,square,1000.0,,go,200972,0.0,test_trial,A3QAHF4UUBM7ZO,1
200.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,1.0,0.0,43.0,stop_signal_single_task_network,,-1.0,"[90, 77]",-1,circle,1000.0,1.0,stop,203476,0.0,test_trial,A3QAHF4UUBM7ZO,1
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,0.0,44.0,stop_signal_single_task_network,,90.0,"[90, 77]",520,square,1000.0,0.0,stop,205981,0.0,test_trial,A3QAHF4UUBM7ZO,0
200.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,0.0,45.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",477,circle,1000.0,,go,208486,0.0,test_trial,A3QAHF4UUBM7ZO,1
200.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,1.0,0.0,46.0,stop_signal_single_task_network,,-1.0,"[90, 77]",-1,square,1000.0,1.0,stop,210990,0.0,test_trial,A3QAHF4UUBM7ZO,1
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,47.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",584,square,1000.0,,go,213494,0.0,test_trial,A3QAHF4UUBM7ZO,1
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,0.0,48.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",713,circle,1000.0,,go,215998,0.0,test_trial,A3QAHF4UUBM7ZO,1
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,1.0,1.0,1.0,stop_signal_single_task_network,,-1.0,"[90, 77]",-1,circle,1000.0,1.0,stop,228931,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,1.0,2.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",658,circle,1000.0,,go,231435,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,1.0,3.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",583,square,1000.0,,go,233939,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,0.0,1.0,4.0,stop_signal_single_task_network,0.0,77.0,"[90, 77]",630,circle,1000.0,,go,236444,0.0,test_trial,A3QAHF4UUBM7ZO,0
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,1.0,5.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",499,circle,1000.0,,go,238948,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,1.0,6.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",618,square,1000.0,,go,241453,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,1.0,7.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",682,circle,1000.0,,go,243959,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,1.0,8.0,stop_signal_single_task_network,,77.0,"[90, 77]",539,square,1000.0,0.0,stop,246464,0.0,test_trial,A3QAHF4UUBM7ZO,0
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,1.0,1.0,9.0,stop_signal_single_task_network,,-1.0,"[90, 77]",-1,circle,1000.0,1.0,stop,248968,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,1.0,10.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",750,circle,1000.0,,go,251473,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,1.0,11.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",632,circle,1000.0,,go,253977,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,1.0,1.0,12.0,stop_signal_single_task_network,,-1.0,"[90, 77]",-1,circle,1000.0,1.0,stop,256480,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,1.0,13.0,stop_signal_single_task_network,,90.0,"[90, 77]",413,circle,1000.0,0.0,stop,258985,0.0,test_trial,A3QAHF4UUBM7ZO,0
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,1.0,14.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",634,square,1000.0,,go,261488,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,1.0,15.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",738,circle,1000.0,,go,263993,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,1.0,1.0,16.0,stop_signal_single_task_network,,-1.0,"[90, 77]",-1,square,1000.0,1.0,stop,266496,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,1.0,17.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",522,square,1000.0,,go,269001,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,1.0,18.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",525,square,1000.0,,go,271505,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,1.0,19.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",855,square,1000.0,,go,274008,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,1.0,20.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",595,square,1000.0,,go,276512,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,1.0,21.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",530,square,1000.0,,go,279016,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,1.0,22.0,stop_signal_single_task_network,,77.0,"[90, 77]",452,square,1000.0,0.0,stop,281521,0.0,test_trial,A3QAHF4UUBM7ZO,0
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,1.0,23.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",659,circle,1000.0,,go,284026,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,1.0,24.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",642,circle,1000.0,,go,286531,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,1.0,25.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",652,circle,1000.0,,go,289036,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,1.0,26.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",697,square,1000.0,,go,291540,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,1.0,27.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",665,square,1000.0,,go,294044,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,1.0,28.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",681,circle,1000.0,,go,296548,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,1.0,29.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",955,square,1000.0,,go,299053,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,0.0,1.0,30.0,stop_signal_single_task_network,0.0,77.0,"[90, 77]",772,circle,1000.0,,go,301557,0.0,test_trial,A3QAHF4UUBM7ZO,0
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,1.0,1.0,31.0,stop_signal_single_task_network,,-1.0,"[90, 77]",-1,circle,1000.0,1.0,stop,304062,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,1.0,32.0,stop_signal_single_task_network,,90.0,"[90, 77]",653,circle,1000.0,0.0,stop,306566,0.0,test_trial,A3QAHF4UUBM7ZO,0
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,1.0,33.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",714,square,1000.0,,go,309070,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,1.0,34.0,stop_signal_single_task_network,,90.0,"[90, 77]",570,square,1000.0,0.0,stop,311577,0.0,test_trial,A3QAHF4UUBM7ZO,0
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,1.0,1.0,35.0,stop_signal_single_task_network,,-1.0,"[90, 77]",-1,circle,1000.0,1.0,stop,314082,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,0.0,1.0,36.0,stop_signal_single_task_network,0.0,77.0,"[90, 77]",772,circle,1000.0,,go,316587,0.0,test_trial,A3QAHF4UUBM7ZO,0
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,1.0,37.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",601,square,1000.0,,go,319091,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,1.0,1.0,38.0,stop_signal_single_task_network,,-1.0,"[90, 77]",-1,square,1000.0,1.0,stop,321595,0.0,test_trial,A3QAHF4UUBM7ZO,1
350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,1.0,39.0,stop_signal_single_task_network,,77.0,"[90, 77]",584,square,1000.0,0.0,stop,324099,0.0,test_trial,A3QAHF4UUBM7ZO,0
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,1.0,40.0,stop_signal_single_task_network,1.0,90.0,"[90, 77]",601,circle,1000.0,,go,326603,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,1.0,41.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",597,square,1000.0,,go,329108,0.0,test_trial,A3QAHF4UUBM7ZO,1
300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,1.0,42.0,stop_signal_single_task_network,,77.0,"[90, 77]",539,square,1000.0,0.0,stop,331614,0.0,test_trial,A3QAHF4UUBM7ZO,0
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,0.0,1.0,43.0,stop_signal_single_task_network,0.0,-1.0,"[90, 77]",-1,circle,1000.0,,go,334119,0.0,test_trial,A3QAHF4UUBM7ZO,0
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,1.0,44.0,stop_signal_single_task_network,1.0,77.0,"[90, 77]",657,square,1000.0,,go,336624,0.0,test_trial,A3QAHF4UUBM7ZO,1
250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,1.0,45.0,stop_signal_single_task_network,,77.0,"[90, 77]",541,square,1000.0,0.0,stop,339128,0.0,test_trial,A3QAHF4UUBM7ZO,0
