worker_id,current_block,stop_signal_condition,SS_delay,correct_response,key_press,correct_trial,rt
AIQT0DPRTXYYD,0,go,450,77,90,0,610
AIQT0DPRTXYYD,0,go,450,77,77,1,642
AIQT0DPRTXYYD,0,go,450,90,90,1,678
AIQT0DPRTXYYD,0,go,450,77,77,1,576
AIQT0DPRTXYYD,0,stop,450,-1,90,0,579
AIQT0DPRTXYYD,0,stop,400,-1,-1,1,-1
AIQT0DPRTXYYD,0,stop,450,-1,-1,1,-1
AIQT0DPRTXYYD,0,stop,500,-1,77,0,605
AIQT0DPRTXYYD,0,go,450,90,90,1,874
AIQT0DPRTXYYD,1,go,450,77,77,1,600
AIQT0DPRTXYYD,1,stop,450,-1,-1,1,-1
AIQT0DPRTXYYD,1,go,500,90,90,1,686
AIQT0DPRTXYYD,1,go,500,90,90,1,718
AIQT0DPRTXYYD,1,go,500,90,90,1,808
AIQT0DPRTXYYD,1,go,500,90,90,1,660
AIQT0DPRTXYYD,1,go,500,90,90,1,655
AIQT0DPRTXYYD,1,go,500,90,90,1,592
AIQT0DPRTXYYD,1,go,500,90,90,1,719
AIQT0DPRTXYYD,1,go,500,77,77,1,749
AIQT0DPRTXYYD,1,stop,500,-1,-1,1,-1
AIQT0DPRTXYYD,1,stop,550,-1,-1,1,-1
AIQT0DPRTXYYD,1,go,600,77,77,1,714
AIQT0DPRTXYYD,1,go,600,90,90,1,859
AIQT0DPRTXYYD,1,stop,600,-1,77,0,718
AIQT0DPRTXYYD,1,go,550,77,77,1,764
AIQT0DPRTXYYD,1,stop,550,-1,-1,1,-1
AIQT0DPRTXYYD,1,go,600,77,77,1,730
AIQT0DPRTXYYD,1,stop,600,-1,-1,1,-1
AIQT0DPRTXYYD,1,go,650,77,77,1,705
AIQT0DPRTXYYD,1,go,650,90,90,1,687
AIQT0DPRTXYYD,1,stop,650,-1,77,0,813
AIQT0DPRTXYYD,1,go,600,77,77,1,831
AIQT0DPRTXYYD,1,stop,600,-1,90,0,736
AIQT0DPRTXYYD,1,stop,550,-1,-1,1,-1
AIQT0DPRTXYYD,1,go,600,77,77,1,850
AIQT0DPRTXYYD,1,stop,600,-1,90,0,716
AIQT0DPRTXYYD,1,go,550,90,90,1,688
AIQT0DPRTXYYD,1,go,550,77,77,1,777
AIQT0DPRTXYYD,1,go,550,77,77,1,842
AIQT0DPRTXYYD,1,go,550,77,77,1,739
AIQT0DPRTXYYD,1,go,550,90,90,1,763
AIQT0DPRTXYYD,1,stop,550,-1,90,0,694
AIQT0DPRTXYYD,1,go,500,77,77,1,841
AIQT0DPRTXYYD,1,stop,500,-1,-1,1,-1
AIQT0DPRTXYYD,1,go,550,90,90,1,745
AIQT0DPRTXYYD,1,go,550,90,90,1,975
AIQT0DPRTXYYD,1,stop,550,-1,90,0,581
AIQT0DPRTXYYD,1,stop,500,-1,77,0,699
AIQT0DPRTXYYD,1,stop,450,-1,-1,1,-1
AIQT0DPRTXYYD,1,go,500,77,77,1,680
AIQT0DPRTXYYD,1,go,500,90,90,1,734
AIQT0DPRTXYYD,1,go,500,77,77,1,757
AIQT0DPRTXYYD,1,go,500,90,90,1,827
AIQT0DPRTXYYD,1,go,500,77,77,1,729
AIQT0DPRTXYYD,1,stop,500,-1,90,0,676
AIQT0DPRTXYYD,1,go,450,77,77,1,815
AIQT0DPRTXYYD,1,go,450,90,90,1,891
A3V1ZYXBJYCIIE,0,go,500,90,90,1,695
A3V1ZYXBJYCIIE,0,go,500,90,90,1,604
A3V1ZYXBJYCIIE,0,go,500,77,77,1,613
A3V1ZYXBJYCIIE,0,stop,500,-1,77,0,620
A3V1ZYXBJYCIIE,0,go,450,90,90,1,604
A3V1ZYXBJYCIIE,0,go,450,77,77,1,636
A3V1ZYXBJYCIIE,0,stop,450,-1,90,0,643
A3V1ZYXBJYCIIE,0,stop,400,-1,-1,1,-1
A3V1ZYXBJYCIIE,0,stop,450,-1,77,0,591
A3V1ZYXBJYCIIE,0,go,400,90,90,1,471
A3V1ZYXBJYCIIE,0,stop,400,-1,77,0,601
A3V1ZYXBJYCIIE,0,go,350,90,90,1,640
A3V1ZYXBJYCIIE,0,go,350,90,90,1,677
A3V1ZYXBJYCIIE,0,go,350,77,77,1,685
A3V1ZYXBJYCIIE,0,go,350,77,77,1,692
A3V1ZYXBJYCIIE,0,go,350,90,90,1,731
A3V1ZYXBJYCIIE,0,go,350,77,90,0,711
A3V1ZYXBJYCIIE,0,go,350,77,77,1,685
A3V1ZYXBJYCIIE,0,go,350,77,77,1,756
A3V1ZYXBJYCIIE,0,stop,350,-1,-1,1,-1
A3V1ZYXBJYCIIE,0,go,400,90,90,1,644
A3V1ZYXBJYCIIE,0,stop,400,-1,77,0,1164
A3V1ZYXBJYCIIE,0,go,350,90,90,1,691
A3V1ZYXBJYCIIE,0,go,350,77,77,1,856
A3V1ZYXBJYCIIE,0,go,350,77,77,1,1055
A3V1ZYXBJYCIIE,0,go,350,90,90,1,1094
